dataset,stage,rank,image_path,distance_to_centroid,selection_basis
PIID,1,1,data/piid/1/stage_1_53188.jpg,2.477452,archived_mean_centroid
PIID,1,2,data/piid/1/stage_1_15820.jpg,2.481672,archived_mean_centroid
PIID,1,3,data/piid/1/stage_1_30232.jpg,2.613752,archived_mean_centroid
PIID,2,1,data/piid/2/stage_2_19161.jpg,2.673638,archived_mean_centroid
PIID,2,2,data/piid/2/stage_2_88035.jpg,2.707578,archived_mean_centroid
PIID,2,3,data/piid/2/stage_2_59422.jpg,2.712501,archived_mean_centroid
PIID,3,1,data/piid/3/stage_3_42257.jpg,2.921760,archived_mean_centroid
PIID,3,2,data/piid/3/stage_3_14820.jpg,2.976292,archived_mean_centroid
PIID,3,3,data/piid/3/stage_3_79198.jpg,3.047459,archived_mean_centroid
PIID,4,1,data/piid/4/stage_4_34511.jpg,2.843399,archived_mean_centroid
PIID,4,2,data/piid/4/stage_4_67419.jpg,2.949911,archived_mean_centroid
PIID,4,3,data/piid/4/stage_4_32682.jpg,2.979180,archived_mean_centroid
Kaggle,1,1,data/kaggle/1/Stage_I_008.png,2.704675,archived_mean_centroid
Kaggle,1,2,data/kaggle/1/Stage_I_002.png,2.964528,archived_mean_centroid
Kaggle,1,3,data/kaggle/1/Stage_I_013.png,3.227580,archived_mean_centroid
Kaggle,2,1,data/kaggle/2/Stage_II_022.png,3.062067,archived_mean_centroid
Kaggle,2,2,data/kaggle/2/Stage_II_002.png,3.074374,archived_mean_centroid
Kaggle,2,3,data/kaggle/2/Stage_II_042.png,3.128125,archived_mean_centroid
Kaggle,3,1,data/kaggle/3/Stage_III_008.png,3.638329,archived_mean_centroid
Kaggle,3,2,data/kaggle/3/Stage_III_044.png,3.775232,archived_mean_centroid
Kaggle,3,3,data/kaggle/3/Stage_III_035.png,3.821566,archived_mean_centroid
Kaggle,4,1,data/kaggle/4/Stage_IV_024.png,3.449252,archived_mean_centroid
Kaggle,4,2,data/kaggle/4/Stage_IV_031.png,3.519495,archived_mean_centroid
Kaggle,4,3,data/kaggle/4/Stage_IV_023.png,3.606614,archived_mean_centroid
